T_ms,lifecycle,substate,x,y,speed,adv_v,turn_v,dist_wp,wps_left,yaw_odo,yaw_mag,yaw_fused,cal_status
82823,running,cruise,41.78,54.79,1.29,1.00,-3.57,42.05,2,90.36,152.55,153.79,done
82881,running,cruise,41.71,54.82,1.40,1.00,-3.32,41.99,2,90.57,157.73,155.53,done
82939,running,cruise,41.63,54.86,1.37,1.00,-3.19,41.92,2,90.77,157.73,156.56,done
82998,running,cruise,41.56,54.89,1.30,1.00,-3.16,41.85,2,90.96,157.41,157.05,done
83055,running,cruise,41.49,54.92,1.40,1.00,-3.07,41.78,2,91.15,158.70,157.86,done
83114,running,cruise,41.41,54.95,1.40,1.00,-3.04,41.71,2,91.34,158.70,158.34,done
83172,running,cruise,41.34,54.98,1.27,1.00,-3.00,41.64,2,91.53,159.25,158.84,done
83231,running,cruise,41.27,55.00,1.28,1.00,-2.99,41.57,2,91.72,159.25,159.14,done
83289,running,cruise,41.20,55.03,1.12,1.00,-3.38,41.51,2,91.91,154.50,157.42,done
83347,running,cruise,41.15,55.06,1.03,1.00,-2.89,41.46,2,92.11,154.50,156.40,done
83405,running,cruise,41.09,55.08,0.99,1.00,-2.84,41.41,2,92.28,157.30,156.89,done
83463,running,cruise,41.04,55.10,0.97,1.00,-2.90,41.36,2,92.46,156.20,156.75,done
83521,running,cruise,40.99,55.13,1.14,1.00,-2.95,41.30,2,92.64,156.20,156.66,done
83579,running,cruise,40.93,55.15,0.99,1.00,-2.81,41.25,2,92.82,159.01,157.74,done
83637,running,cruise,40.87,55.17,1.01,1.00,-2.74,41.20,2,92.99,159.01,158.38,done
83696,running,cruise,40.82,55.19,1.04,1.00,-3.14,41.15,2,93.17,152.41,156.12,done
83754,running,cruise,40.77,55.22,0.87,1.00,-3.38,41.10,2,93.37,152.41,154.78,done
83812,running,cruise,40.72,55.24,0.92,1.00,-3.44,41.06,2,93.57,154.04,154.64,done
83870,running,cruise,40.67,55.26,1.15,1.00,-3.39,41.01,2,93.78,155.63,155.19,done
83928,running,cruise,40.60,55.30,1.29,1.00,-3.39,40.94,2,93.99,155.63,155.52,done
83986,running,cruise,40.53,55.33,1.37,1.00,-3.18,40.88,2,94.19,159.17,157.14,done
84075,running,cruise,40.42,55.37,1.44,1.00,-3.08,40.78,2,94.47,159.17,158.17,done
84154,running,cruise,40.30,55.42,1.67,1.00,-3.16,40.66,2,94.74,157.78,158.21,done
84212,running,cruise,40.20,55.46,1.83,1.00,-2.96,40.57,2,94.93,161.74,159.77,done
84270,running,cruise,40.11,55.49,1.62,1.00,-3.16,40.48,2,95.12,157.42,158.97,done
84328,running,cruise,40.02,55.52,1.56,1.00,-3.31,40.40,2,95.31,157.42,158.49,done
84386,running,cruise,39.94,55.56,1.66,1.00,-3.46,40.32,2,95.52,156.91,158.01,done
84444,running,cruise,39.85,55.60,1.70,1.00,-3.58,40.24,2,95.73,156.91,157.73,done
84502,running,cruise,39.76,55.63,1.53,1.00,-3.50,40.16,2,95.95,159.48,158.60,done
84560,running,cruise,39.68,55.66,1.37,1.00,-3.47,40.09,2,96.16,159.48,159.11,done
84618,running,cruise,39.60,55.69,1.59,1.00,-3.49,40.01,2,96.37,159.46,159.41,done
84677,running,cruise,39.52,55.72,1.33,1.00,-3.39,39.93,2,96.59,161.35,160.35,done
84735,running,cruise,39.46,55.74,1.03,1.00,-3.33,39.87,2,96.79,161.35,160.90,done
84793,running,cruise,39.40,55.76,1.14,1.00,-3.42,39.82,2,97.00,159.99,160.69,done
84851,running,cruise,39.33,55.79,1.35,1.00,-3.50,39.75,2,97.21,159.99,160.57,done
84910,running,cruise,39.25,55.81,1.38,1.00,-3.26,39.68,2,97.42,164.16,162.17,done
84968,running,cruise,39.18,55.84,1.07,1.00,-2.78,39.62,2,97.62,164.16,163.11,done
85026,running,cruise,39.12,55.85,1.21,1.00,-2.48,39.56,2,97.78,162.14,162.84,done
85084,running,cruise,39.06,55.88,1.20,1.00,-2.75,39.50,2,97.94,158.78,161.33,done
85142,running,cruise,39.00,55.90,0.90,1.00,-2.92,39.44,2,98.11,158.78,160.44,done
85201,running,cruise,38.94,55.92,1.13,1.00,-3.07,39.39,2,98.30,158.30,159.72,done
85259,running,cruise,38.88,55.94,1.13,1.00,-3.18,39.33,2,98.49,158.30,159.30,done
85317,running,cruise,38.82,55.96,0.83,1.00,-2.85,39.28,2,98.67,164.70,161.61,done
85375,running,cruise,38.78,55.97,0.81,1.00,-2.65,39.24,2,98.85,164.70,162.98,done
85434,running,cruise,38.73,55.99,0.83,1.00,-2.93,39.19,2,99.02,158.72,161.40,done
85492,running,cruise,38.69,56.00,0.76,1.00,-2.79,39.15,2,99.19,163.79,162.49,done
85550,running,cruise,38.65,56.01,0.67,1.00,-2.70,39.12,2,99.36,163.79,163.14,done
85608,running,cruise,38.61,56.03,0.83,1.00,-2.87,39.08,2,99.53,160.59,162.24,done
85666,running,cruise,38.57,56.04,0.89,1.00,-2.99,39.04,2,99.71,160.59,161.71,done
85724,running,cruise,38.51,56.06,1.04,1.00,-2.89,38.99,2,99.90,163.32,162.49,done
85782,running,cruise,38.46,56.08,0.88,1.00,-2.85,38.93,2,100.07,163.32,162.96,done
85841,running,cruise,38.41,56.09,0.94,1.00,-2.72,38.89,2,100.25,164.95,163.88,done
85905,running,cruise,38.35,56.11,0.88,1.00,-2.59,38.83,2,100.43,165.97,164.86,done
85966,running,cruise,38.30,56.12,0.70,1.00,-2.52,38.79,2,100.60,165.97,165.43,done
86028,running,cruise,38.26,56.13,0.76,1.00,-2.56,38.75,2,100.77,164.96,165.37,done
86087,running,cruise,38.22,56.14,0.54,1.00,-2.59,38.71,2,100.93,164.96,165.32,done
86149,running,cruise,38.20,56.15,0.35,1.00,-2.62,38.69,2,101.10,164.70,165.20,done
86211,running,cruise,38.17,56.15,0.53,1.00,-2.69,38.67,2,101.28,164.03,164.86,done
86270,running,cruise,38.14,56.16,0.51,1.00,-2.75,38.64,2,101.45,164.03,164.66,done
86329,running,cruise,38.11,56.17,0.62,1.00,-2.71,38.61,2,101.62,165.21,165.01,done
86387,running,cruise,38.08,56.18,0.59,1.00,-2.69,38.58,2,101.78,165.21,165.22,done
86447,running,cruise,38.04,56.19,0.61,1.00,-2.54,38.54,2,101.95,167.26,166.16,done
86506,running,cruise,38.00,56.20,0.92,1.00,-2.13,38.50,2,102.10,171.96,168.60,done
86564,running,cruise,37.94,56.21,0.99,1.11,-1.90,38.45,2,102.23,171.96,170.05,done
86625,running,cruise,37.88,56.22,1.02,1.00,-2.15,38.39,2,102.37,166.74,168.82,done
86684,running,cruise,37.83,56.23,0.99,1.00,-2.31,38.34,2,102.51,166.74,168.09,done
86744,running,cruise,37.76,56.25,1.27,1.00,-2.19,38.27,2,102.65,170.03,168.98,done
86806,running,cruise,37.68,56.26,1.35,1.00,-2.15,38.19,2,102.80,169.74,169.39,done
86864,running,cruise,37.60,56.27,1.37,1.00,-2.14,38.12,2,102.93,169.74,169.63,done
86922,running,cruise,37.51,56.29,1.61,1.00,-2.27,38.04,2,103.07,168.32,169.21,done
86981,running,cruise,37.42,56.31,1.65,1.00,-2.37,37.94,2,103.22,168.32,168.96,done
87039,running,cruise,37.33,56.33,1.42,1.00,-2.48,37.86,2,103.37,167.84,168.63,done
87097,running,cruise,37.25,56.34,1.33,1.00,-2.57,37.79,2,103.52,167.84,168.43,done
87156,running,cruise,37.17,56.36,1.50,1.00,-2.70,37.71,2,103.69,167.15,168.04,done
87214,running,cruise,37.08,56.38,1.48,1.17,-1.91,37.63,2,103.84,170.01,168.94,done
87272,running,cruise,37.01,56.39,1.28,1.28,-1.86,37.55,2,103.96,170.01,169.46,done
87330,running,cruise,36.92,56.41,1.68,1.00,-2.04,37.47,2,104.08,166.91,168.53,done
87388,running,cruise,36.82,56.43,1.78,1.00,-2.18,37.37,2,104.21,166.91,167.98,done
87446,running,cruise,36.74,56.45,1.09,1.00,-2.21,37.30,2,104.35,167.76,168.00,done
87504,running,cruise,36.67,56.46,1.25,1.00,-2.24,37.24,2,104.49,167.76,168.01,done
87562,running,cruise,36.59,56.48,1.66,1.00,-2.07,37.16,2,104.62,170.88,169.26,done
87621,running,cruise,36.51,56.49,1.05,1.00,-2.07,37.08,2,104.75,169.46,169.44,done
87680,running,cruise,36.45,56.50,1.30,1.00,-2.08,37.02,2,104.89,169.46,169.54,done
87738,running,cruise,36.37,56.52,1.37,1.00,-2.19,36.95,2,105.02,168.22,169.11,done
87796,running,cruise,36.29,56.53,1.32,1.00,-2.27,36.87,2,105.16,168.22,168.86,done
87854,running,cruise,36.21,56.55,1.30,1.00,-2.21,36.80,2,105.30,170.07,169.45,done
87912,running,cruise,36.15,56.56,1.12,1.00,-2.50,36.74,2,105.44,165.37,167.92,done
87970,running,cruise,36.08,56.58,1.40,1.00,-2.70,36.68,2,105.60,165.37,167.02,done
88028,running,cruise,35.98,56.60,1.95,1.00,-2.50,36.58,2,105.77,170.31,168.46,done
88086,running,cruise,35.88,56.62,1.69,1.00,-2.41,36.48,2,105.92,170.31,169.32,done
88145,running,cruise,35.78,56.64,1.74,1.00,-2.67,36.39,2,106.08,166.24,168.20,done
88203,running,cruise,35.69,56.66,1.45,1.00,-2.84,36.30,2,106.25,166.24,167.54,done
88261,running,cruise,35.62,56.67,0.95,1.00,-3.09,36.24,2,106.43,164.37,166.40,done
88320,running,cruise,35.57,56.69,1.08,1.00,-2.68,36.19,2,106.61,172.19,168.86,done
88378,running,cruise,35.52,56.69,0.73,1.00,-2.44,36.14,2,106.77,172.19,170.32,done
88436,running,cruise,35.48,56.70,0.66,1.00,-2.52,36.10,2,106.92,169.32,170.03,done
88494,running,cruise,35.44,56.71,0.70,1.00,-2.57,36.07,2,107.08,169.32,169.86,done
88553,running,cruise,35.40,56.72,0.67,1.00,-2.56,36.03,2,107.24,170.06,170.06,done
88611,running,cruise,35.36,56.72,0.47,1.00,-2.56,36.00,2,107.40,170.06,170.18,done
88669,running,cruise,35.33,56.73,0.59,1.00,-2.58,35.97,2,107.56,169.83,170.16,done
88727,running,cruise,35.30,56.73,0.43,1.00,-2.38,35.94,2,107.72,172.79,171.33,done
88785,running,cruise,35.28,56.73,0.20,1.00,-2.25,35.92,2,107.86,172.79,172.02,done
88844,running,cruise,35.27,56.74,0.32,1.00,-2.50,35.91,2,108.01,168.68,170.79,done
88902,running,cruise,35.25,56.74,0.29,1.00,-2.65,35.89,2,108.17,168.68,170.07,done
88960,running,cruise,35.23,56.74,0.46,1.00,-2.22,35.87,2,108.32,175.43,172.33,done
89018,running,cruise,35.20,56.75,0.51,1.03,-1.98,35.85,2,108.45,175.43,173.68,done
89076,running,cruise,35.17,56.75,0.61,1.00,-2.16,35.81,2,108.58,171.35,172.84,done
89134,running,cruise,35.14,56.75,0.61,1.00,-2.09,35.78,2,108.72,173.60,173.24,done
89192,running,cruise,35.10,56.76,0.70,1.00,-2.07,35.74,2,108.85,173.60,173.48,done
89250,running,cruise,35.05,56.76,0.73,1.06,-1.69,35.70,2,108.98,173.27,173.49,done
89308,running,cruise,35.02,56.77,0.63,1.29,-1.52,35.66,2,109.08,173.27,173.48,done
89367,running,cruise,34.98,56.77,0.69,1.53,-1.55,35.63,2,109.18,172.96,173.35,done
89425,running,cruise,34.93,56.78,0.84,1.76,-1.58,35.58,2,109.28,172.96,173.27,done
89483,running,cruise,34.88,56.78,1.06,1.99,-1.42,35.53,2,109.38,175.78,174.35,done
89541,running,cruise,34.82,56.79,0.96,2.23,-1.33,35.48,2,109.47,175.89,175.04,done
89599,running,cruise,34.76,56.79,1.18,2.45,-1.28,35.42,2,109.56,175.89,175.44,done
89658,running,cruise,34.67,56.80,1.75,2.37,-1.31,35.33,2,109.64,175.06,175.35,done
89716,running,cruise,34.56,56.81,1.91,2.29,-1.35,35.23,2,109.73,175.06,175.30,done
89774,running,cruise,34.46,56.82,1.57,2.53,-1.22,35.13,2,109.81,177.48,176.24,done
89832,running,cruise,34.37,56.82,1.69,2.70,-1.15,35.04,2,109.89,177.48,176.80,done
89890,running,cruise,34.24,56.83,2.74,2.23,-1.39,34.92,2,109.98,173.72,175.62,done
89948,running,cruise,34.08,56.84,2.69,2.46,-1.19,34.76,2,110.06,178.92,177.01,done
90006,running,cruise,33.95,56.85,2.04,2.69,-1.08,34.63,2,110.14,178.92,177.83,done
90064,running,cruise,33.81,56.85,3.10,2.66,-1.17,34.49,2,110.21,176.91,177.52,done
90122,running,cruise,33.60,56.86,3.93,2.48,-1.26,34.29,2,110.29,176.91,177.33,done
90181,running,cruise,33.36,56.87,3.96,2.27,-1.36,34.06,2,110.38,176.79,177.18,done
90239,running,cruise,33.13,56.89,3.73,2.09,-1.46,33.84,2,110.47,176.79,177.09,done
90297,running,cruise,32.90,56.90,4.44,1.68,-1.33,33.62,2,110.57,173.28,175.64,done
90355,running,cruise,32.66,56.92,3.69,1.92,-1.44,33.38,2,110.66,174.69,175.33,done
90413,running,cruise,32.47,56.94,3.27,1.93,-1.53,33.20,2,110.76,174.69,175.14,done
90471,running,cruise,32.23,56.96,4.75,1.55,-1.73,32.98,2,110.86,173.28,174.47,done
90529,running,cruise,31.94,56.99,4.94,1.19,-1.91,32.70,2,110.97,173.28,174.08,done
90587,running,cruise,31.69,57.01,3.76,1.08,-1.96,32.46,2,111.09,174.61,174.38,done
90645,running,cruise,31.49,57.03,3.38,1.00,-2.02,32.27,2,111.22,174.61,174.57,done
90705,running,cruise,31.29,57.05,3.53,1.00,-2.47,32.07,2,111.36,169.58,172.67,done
90763,running,cruise,31.09,57.08,3.39,1.00,-2.51,31.88,2,111.51,173.43,173.09,done
90821,running,cruise,30.88,57.10,3.72,1.00,-2.59,31.69,2,111.67,173.43,173.35,done
90879,running,cruise,30.67,57.13,3.53,1.06,-1.97,31.49,2,111.81,173.70,173.59,done
90937,running,cruise,30.49,57.15,2.91,1.00,-2.02,31.31,2,111.93,173.70,173.73,done
90995,running,cruise,30.33,57.17,2.47,1.00,-2.35,31.17,2,112.07,169.55,172.15,done
91053,running,cruise,30.20,57.19,2.21,1.00,-2.36,31.04,2,112.21,172.69,172.48,done
91111,running,cruise,30.09,57.20,1.53,1.00,-2.38,30.94,2,112.36,172.69,172.68,done
91169,running,cruise,30.00,57.21,1.38,1.00,-2.74,30.86,2,112.52,167.82,170.84,done
91227,running,cruise,29.93,57.22,1.16,1.00,-2.97,30.79,2,112.69,167.82,169.76,done
91286,running,cruise,29.88,57.23,0.78,1.00,-2.78,30.74,2,112.87,172.64,171.05,done
91344,running,cruise,29.83,57.24,0.83,1.00,-2.67,30.70,2,113.04,172.64,171.82,done
91402,running,cruise,29.77,57.25,0.99,1.00,-2.63,30.64,2,113.21,172.57,172.24,done
91461,running,cruise,29.73,57.25,0.52,1.00,-2.42,30.61,2,113.37,175.30,173.59,done
91519,running,cruise,29.70,57.26,0.79,1.00,-2.30,30.57,2,113.51,175.30,174.39,done
91577,running,cruise,29.64,57.26,0.89,1.00,-2.48,30.52,2,113.66,171.94,173.52,done
91635,running,cruise,29.61,57.27,0.33,1.00,-2.59,30.49,2,113.82,171.94,173.00,done
91694,running,cruise,29.59,57.27,0.64,1.00,-2.54,30.47,2,113.98,173.58,173.36,done
91752,running,cruise,29.54,57.28,0.94,1.00,-2.53,30.42,2,114.14,173.58,173.57,done
91817,running,cruise,29.50,57.28,0.28,1.00,-2.60,30.38,2,114.32,172.62,173.32,done
91875,running,cruise,29.47,57.28,0.75,1.00,-2.61,30.36,2,114.48,173.11,173.36,done
91936,running,cruise,29.41,57.29,1.01,1.00,-2.64,30.30,2,114.65,173.11,173.38,done
91994,running,cruise,29.37,57.29,0.55,1.00,-2.50,30.26,2,114.81,175.36,174.30,done
92053,running,cruise,29.33,57.30,0.81,1.00,-2.42,30.23,2,114.96,175.36,174.84,done
92112,running,cruise,29.28,57.30,1.00,1.00,-2.16,30.18,2,115.11,178.39,176.37,done
92226,running,cruise,29.17,57.31,0.95,1.00,-2.12,30.07,2,115.36,177.23,176.91,done
92289,running,cruise,29.10,57.31,1.11,1.00,-2.03,30.01,2,115.52,178.15,177.52,done
92353,running,cruise,29.03,57.31,1.11,1.00,-2.00,29.94,2,115.66,178.15,177.88,done
92411,running,cruise,28.96,57.32,1.10,1.00,-2.35,29.87,2,115.79,173.50,176.22,done
92470,running,cruise,28.90,57.32,1.17,1.00,-2.66,29.81,2,115.95,172.48,174.84,done
92528,running,cruise,28.83,57.33,1.11,1.00,-2.86,29.75,2,116.11,172.48,174.02,done
92590,running,cruise,28.75,57.34,1.48,1.00,-2.58,29.67,2,116.30,176.36,175.09,done
92649,running,cruise,28.67,57.34,1.32,1.12,-1.94,29.59,2,116.44,176.36,175.71,done
92708,running,cruise,28.59,57.35,1.37,1.00,-2.02,29.52,2,116.57,174.64,175.37,done
92767,running,cruise,28.51,57.36,1.40,1.00,-2.09,29.44,2,116.70,174.64,175.18,done
92832,running,cruise,28.43,57.36,1.02,1.17,-1.86,29.37,2,116.84,178.87,176.77,done
92890,running,cruise,28.38,57.37,1.02,1.00,-2.19,29.32,2,116.96,171.85,174.89,done
92948,running,cruise,28.31,57.37,1.33,1.00,-2.40,29.25,2,117.10,171.85,173.78,done
93006,running,cruise,28.24,57.38,0.90,1.00,-2.10,29.19,2,117.25,178.57,175.81,done
93064,running,cruise,28.19,57.38,0.81,1.11,-1.92,29.14,2,117.38,178.57,177.01,done
93122,running,cruise,28.15,57.38,0.78,1.00,-2.03,29.10,2,117.50,175.33,176.43,done
93181,running,cruise,28.10,57.39,0.66,1.00,-2.06,29.06,2,117.63,176.02,176.36,done
93240,running,cruise,28.08,57.39,0.27,1.00,-2.08,29.03,2,117.76,176.02,176.33,done
93297,running,cruise,28.06,57.39,0.30,1.01,-2.00,29.02,2,117.89,177.46,176.88,done
93355,running,cruise,28.05,57.39,0.22,1.11,-1.95,29.00,2,118.02,177.46,177.20,done
93414,running,cruise,28.03,57.39,0.46,1.06,-1.97,28.98,2,118.14,176.78,177.13,done
93472,running,cruise,28.00,57.39,0.39,1.02,-1.99,28.96,2,118.26,176.78,177.08,done
93530,running,cruise,27.99,57.40,-0.02,1.13,-1.60,28.95,2,118.40,-175.06,35.88,done
93588,running,cruise,27.99,57.39,0.00,1.36,-0.68,28.95,2,118.47,178.66,93.23,done
93646,running,cruise,27.98,57.40,0.26,1.59,-1.34,28.95,2,118.54,178.66,127.56,done
93704,running,cruise,27.99,57.42,0.48,1.83,0.13,28.96,2,118.59,-178.25,4.89,done
93762,running,cruise,28.02,57.40,0.70,2.06,1.12,28.98,2,118.57,-178.25,-68.62,done
93821,running,cruise,28.02,57.37,0.36,2.29,0.27,28.97,2,118.53,-178.07,-112.56,done
93879,running,cruise,28.01,57.35,0.46,2.52,-0.56,28.96,2,118.54,-178.07,-138.84,done
93937,running,cruise,28.02,57.32,0.87,2.26,0.89,28.96,2,118.55,176.56,-12.27,done
93995,running,cruise,28.07,57.35,1.10,2.49,0.60,29.02,2,118.51,176.09,63.28,done
94053,running,cruise,28.08,57.39,0.43,2.72,-0.26,29.04,2,118.50,176.09,108.54,done
94112,running,cruise,28.10,57.41,1.01,2.65,0.62,29.06,2,118.52,-178.61,-6.67,done
94171,running,cruise,28.17,57.33,2.37,2.30,1.02,29.11,2,118.47,-178.61,-75.70,done
94229,running,cruise,28.17,57.23,1.05,2.53,0.15,29.08,2,118.44,-176.47,-116.16,done
94287,running,cruise,28.14,57.20,1.03,2.77,-0.59,29.05,2,118.46,-176.47,-140.34,done
94345,running,cruise,28.18,57.12,2.74,2.40,0.86,29.06,2,118.47,178.39,-12.44,done
94404,running,cruise,28.35,57.20,3.44,2.49,0.60,29.25,2,118.42,179.50,64.54,done
94461,running,cruise,28.36,57.34,1.61,2.72,-0.26,29.29,2,118.42,179.50,110.67,done
94520,running,cruise,28.30,57.42,2.73,2.17,-1.14,29.25,2,118.46,174.21,136.20,done
94578,running,cruise,28.12,57.55,4.21,2.04,-1.48,29.12,2,118.55,174.21,151.51,done
94636,running,cruise,27.91,57.64,3.31,2.07,-1.47,28.94,2,118.64,175.40,161.17,done
94695,running,cruise,27.75,57.69,2.86,2.12,-1.44,28.79,2,118.74,175.40,166.95,done
94753,running,cruise,27.57,57.73,3.52,2.14,-1.43,28.63,2,118.83,172.38,169.20,done
94811,running,cruise,27.35,57.76,3.95,2.18,-1.41,28.43,2,118.93,175.37,171.75,done
94869,running,cruise,27.13,57.79,3.66,2.20,-1.40,28.23,2,119.02,175.37,173.27,done
94928,running,cruise,26.92,57.81,3.58,2.23,-1.39,28.03,2,119.11,178.63,175.49,done
94986,running,cruise,26.71,57.83,3.81,2.25,-1.38,27.83,2,119.20,178.63,176.82,done
95044,running,cruise,26.49,57.84,3.71,2.23,-1.38,27.63,2,119.29,175.75,176.46,done
95102,running,cruise,26.27,57.85,3.65,2.23,-1.39,27.42,2,119.38,176.36,176.49,done
95161,running,cruise,26.08,57.87,3.07,2.22,-1.39,27.24,2,119.47,176.36,176.50,done
95219,running,cruise,25.89,57.88,3.70,2.20,-1.40,27.06,2,119.56,175.05,175.99,done
95277,running,cruise,25.66,57.90,3.90,2.19,-1.40,26.85,2,119.66,175.05,175.68,done
95336,running,cruise,25.45,57.91,3.35,2.18,-1.41,26.65,2,119.75,174.30,175.20,done
95394,running,cruise,25.28,57.93,2.88,2.17,-1.42,26.49,2,119.84,174.30,174.91,done
95452,running,cruise,25.10,57.94,3.18,2.16,-1.42,26.33,2,119.93,174.32,174.74,done
95510,running,cruise,24.92,57.96,3.08,2.15,-1.42,26.16,2,120.03,174.73,174.81,done
95568,running,cruise,24.77,57.97,2.28,2.15,-1.43,26.02,2,120.12,174.73,174.85,done
95626,running,cruise,24.64,57.99,2.41,2.12,-1.44,25.90,2,120.21,170.85,173.31,done
95685,running,cruise,24.49,58.01,2.58,2.10,-1.45,25.77,2,120.31,170.85,172.39,done
95743,running,cruise,24.35,58.02,2.36,2.10,-1.45,25.63,2,120.40,172.69,172.58,done
95801,running,cruise,24.20,58.04,2.57,2.10,-1.45,25.51,2,120.49,172.69,172.69,done
95860,running,cruise,24.05,58.06,2.57,2.12,-1.44,25.37,2,120.59,176.75,174.39,done
95917,running,cruise,23.92,58.07,2.11,2.13,-1.43,25.24,2,120.68,176.26,175.21,done
95976,running,cruise,23.80,58.08,1.78,2.14,-1.43,25.14,2,120.77,176.26,175.71,done
96034,running,cruise,23.70,58.09,1.79,2.12,-1.44,25.04,2,120.87,173.33,174.82,done
96092,running,cruise,23.60,58.10,1.68,2.11,-1.45,24.95,2,120.96,173.33,174.29,done
96151,running,cruise,23.52,58.11,1.05,2.11,-1.44,24.88,2,121.05,175.41,174.81,done
96209,running,cruise,23.45,58.11,1.40,2.12,-1.44,24.82,2,121.15,175.41,175.12,done
96267,running,cruise,23.44,58.18,1.68,2.20,-0.39,24.83,2,121.23,-178.70,33.20,done
96325,running,cruise,23.48,58.25,1.40,2.43,-0.28,24.89,2,121.24,176.81,90.84,done
96383,running,cruise,23.46,58.32,1.33,2.45,-1.15,24.89,2,121.29,176.81,125.37,done
96441,running,cruise,23.37,58.40,2.57,2.05,-1.48,24.84,2,121.37,176.51,145.96,done
96500,running,cruise,23.24,58.47,2.37,1.99,-1.51,24.74,2,121.47,176.51,158.29,done
96558,running,cruise,23.14,58.51,1.50,2.02,-1.49,24.65,2,121.57,178.16,166.34,done
96616,running,cruise,23.04,58.52,1.99,2.06,-1.47,24.57,2,121.66,178.16,171.15,done
96675,running,cruise,22.91,58.54,2.52,2.10,-1.45,24.45,2,121.76,178.56,174.20,done
96733,running,cruise,22.76,58.55,2.39,2.12,-1.44,24.32,2,121.85,178.47,175.98,done
96791,running,cruise,22.64,58.56,1.94,2.14,-1.43,24.20,2,121.95,178.47,177.05,done
96849,running,cruise,22.53,58.57,1.89,2.12,-1.44,24.10,2,122.04,174.52,176.11,done
96908,running,cruise,22.41,58.58,2.18,2.11,-1.45,23.99,2,122.13,174.52,175.54,done
96966,running,cruise,22.28,58.59,2.04,2.12,-1.44,23.88,2,122.23,178.60,176.84,done
97024,running,cruise,22.17,58.59,1.58,2.13,-1.43,23.78,2,122.32,178.60,177.62,done
97082,running,cruise,22.09,58.59,1.51,2.14,-1.43,23.70,2,122.41,179.11,178.28,done
97140,running,cruise,22.07,58.65,1.38,2.22,-0.40,23.71,2,122.49,-177.78,35.46,done
97199,running,cruise,22.15,58.64,1.55,2.06,1.06,23.77,2,122.50,-177.78,-50.10,done
97257,running,cruise,22.17,58.54,2.00,2.29,0.50,23.76,2,122.45,-179.64,-102.11,done
97315,running,cruise,22.13,58.46,1.13,2.53,-0.37,23.70,2,122.45,-179.64,-133.22,done
97373,running,cruise,22.08,58.42,1.33,2.76,-0.97,23.64,2,122.50,-177.07,-150.78,done
97431,running,cruise,22.10,58.34,2.24,2.49,0.49,23.62,2,122.53,178.18,-18.76,done
97490,running,cruise,22.24,58.40,2.94,2.43,0.67,23.77,2,122.49,178.18,60.24,done
97547,running,cruise,22.37,58.43,2.34,2.06,1.47,23.90,2,122.45,-179.56,-36.02,done
97606,running,cruise,22.42,58.31,2.47,2.30,0.69,23.91,2,122.39,-179.56,-93.66,done
97664,running,cruise,22.38,58.19,1.93,2.53,-0.18,23.83,2,122.37,-176.68,-126.98,done
97722,running,cruise,22.30,58.11,2.23,2.76,-0.88,23.72,2,122.41,-176.68,-146.89,done
97781,running,cruise,22.16,58.04,2.91,2.73,-1.13,23.57,2,122.48,-178.37,-159.47,done
97841,running,cruise,21.98,57.99,3.03,2.48,-1.26,23.39,2,122.56,-178.04,-166.86,done
97904,running,cruise,21.80,57.95,3.10,2.34,-1.33,23.20,2,122.65,-178.04,-171.28,done
97964,running,cruise,21.77,57.83,2.78,2.28,0.13,23.13,2,122.71,179.00,-30.68,done
98025,running,cruise,21.95,57.87,3.67,2.19,0.75,23.32,2,122.68,179.00,53.43,done
98083,running,cruise,22.14,57.89,3.65,2.01,1.45,23.50,2,122.63,-179.27,-39.98,done
98141,running,cruise,22.33,57.90,3.67,2.11,0.94,23.68,2,122.56,178.27,47.54,done
98202,running,cruise,22.38,58.09,3.43,2.35,0.06,23.80,2,122.53,178.27,99.98,done
98259,running,cruise,22.29,58.27,3.68,2.29,-0.83,23.78,2,122.55,178.17,131.37,done
98320,running,cruise,22.10,58.43,4.28,2.00,-1.50,23.65,2,122.63,178.17,150.21,done
98379,running,cruise,21.88,58.53,3.69,1.97,-1.52,23.49,2,122.73,177.90,161.40,done
98441,running,cruise,21.68,58.58,3.23,2.00,-1.50,23.32,2,122.84,177.90,168.10,done
98505,running,cruise,21.45,58.62,4.36,2.04,-1.48,23.12,2,122.94,179.21,172.63,done
98564,running,cruise,21.18,58.65,4.16,2.07,-1.47,22.88,2,123.04,178.72,175.15,done
98623,running,cruise,20.96,58.66,3.42,2.08,-1.46,22.68,2,123.14,178.72,176.65,done
98682,running,cruise,20.77,58.68,3.32,2.08,-1.46,22.51,2,123.23,176.15,176.53,done
98745,running,cruise,20.54,58.69,3.59,2.07,-1.47,22.31,2,123.33,176.15,176.45,done
98804,running,cruise,20.35,58.70,2.92,2.08,-1.46,22.13,2,123.43,179.18,177.62,done
98862,running,cruise,20.20,58.70,2.47,2.08,-1.46,21.99,2,123.53,177.83,177.77,done
98920,running,cruise,20.05,58.71,2.44,2.08,-1.46,21.86,2,123.62,177.83,177.87,done
98984,running,cruise,19.91,58.72,2.15,2.06,-1.47,21.73,2,123.73,175.54,177.01,done
99042,running,cruise,19.78,58.72,2.06,2.05,-1.48,21.62,2,123.82,175.54,176.49,done
99100,running,cruise,19.69,58.73,1.25,2.05,-1.47,21.54,2,123.92,177.09,176.80,done
99159,running,cruise,19.63,58.73,1.01,2.06,-1.47,21.48,2,124.01,177.53,177.17,done
