T_ms,lifecycle,substate,x,y,theta_deg,speed,adv_v,turn_v,dist_wp,counter,wps_left,yaw_gyro,yaw_mag,cal_status
28670,running,cruise,48.96,1.72,-28.44,0.66,1.00,5.36,51.73,0,3,-27.89,-54.92,done
28754,running,cruise,49.00,1.69,-28.87,0.67,1.00,5.35,51.70,0,3,-28.31,-56.09,done
28837,running,cruise,49.02,1.68,-29.32,0.04,1.00,5.30,51.69,0,3,-28.75,-57.57,done
28916,running,cruise,49.03,1.67,-29.72,0.19,1.00,5.25,51.68,0,3,-29.15,-57.57,done
28995,running,cruise,49.05,1.67,-30.13,0.18,1.00,5.21,51.67,0,3,-29.54,-58.93,done
29074,running,cruise,49.06,1.66,-30.49,0.14,1.00,5.16,51.67,0,3,-29.93,-57.64,done
29153,running,cruise,49.08,1.65,-30.88,0.45,1.00,5.12,51.66,0,3,-30.32,-58.64,done
29232,running,cruise,49.11,1.63,-31.26,0.55,1.00,5.10,51.63,0,3,-30.70,-58.64,done
29310,running,cruise,49.15,1.60,-31.60,0.65,1.00,5.10,51.61,0,3,-31.09,-56.60,done
29391,running,cruise,49.21,1.57,-32.00,0.96,1.00,5.10,51.58,0,3,-31.48,-57.19,done
29470,running,cruise,49.29,1.52,-32.46,1.33,1.00,5.12,51.52,0,3,-31.87,-61.40,done
29548,running,cruise,49.38,1.46,-32.80,1.22,1.00,5.17,51.47,0,3,-32.25,-59.98,done
29627,running,cruise,49.44,1.42,-33.19,0.98,1.00,5.19,51.42,0,3,-32.64,-59.98,done
29707,running,cruise,49.52,1.36,-33.63,1.36,1.00,5.23,51.37,0,3,-33.04,-62.57,done
29786,running,cruise,49.59,1.32,-33.98,0.71,1.00,5.26,51.32,0,3,-33.43,-60.94,done
29864,running,cruise,49.62,1.30,-34.39,0.43,1.00,5.23,51.30,0,3,-33.82,-62.34,done
29943,running,cruise,49.67,1.26,-34.78,1.13,1.00,5.23,51.26,0,3,-34.22,-62.34,done
30022,running,cruise,49.74,1.21,-35.13,0.94,1.00,5.27,51.21,0,3,-34.61,-60.58,done
30102,running,cruise,49.81,1.17,-35.58,0.97,1.00,5.28,51.17,0,3,-35.02,-63.42,done
30180,running,cruise,49.88,1.12,-35.97,1.13,1.00,5.08,51.12,0,3,-35.41,-63.30,done
30257,running,cruise,49.93,1.08,-36.28,0.61,1.00,4.62,51.08,0,3,-35.76,-61.73,done
30334,running,cruise,49.95,1.06,-36.61,0.21,1.00,4.59,51.06,0,3,-36.10,-61.73,done
30412,running,cruise,49.96,1.06,-36.97,0.21,1.00,4.55,51.06,0,3,-36.44,-63.13,done
30490,running,cruise,49.99,1.04,-37.28,0.44,1.00,4.53,51.04,0,3,-36.78,-61.82,done
30567,running,cruise,50.00,1.03,-37.66,0.11,1.00,4.49,51.03,0,3,-37.11,-64.53,done
30645,running,cruise,50.01,1.02,-37.99,0.23,1.00,4.45,51.02,0,3,-37.45,-64.53,done
30722,running,cruise,50.05,0.99,-38.29,0.96,1.00,4.44,50.99,0,3,-37.77,-63.45,done
30799,running,cruise,50.11,0.94,-38.64,0.97,1.00,4.46,50.94,0,3,-38.10,-65.24,done
30878,running,cruise,50.17,0.89,-38.96,1.02,1.00,4.47,50.90,0,3,-38.43,-64.58,done
30955,running,cruise,50.25,0.83,-39.28,1.40,1.00,4.51,50.83,0,3,-38.77,-64.58,done
31032,running,cruise,50.33,0.76,-39.67,1.38,1.00,4.54,50.76,0,3,-39.10,-67.77,done
31111,running,cruise,50.42,0.68,-40.01,1.77,1.00,4.60,50.68,0,3,-39.44,-68.05,done
31188,running,cruise,50.52,0.60,-40.26,1.31,1.00,4.67,50.61,0,3,-39.78,-63.93,done
31264,running,cruise,50.58,0.55,-40.67,1.09,1.00,4.68,50.55,0,3,-40.12,-67.34,done
31343,running,cruise,50.65,0.49,-41.01,1.13,1.00,4.71,50.49,0,3,-40.47,-67.34,done
31420,running,cruise,50.71,0.43,-41.36,1.00,1.00,4.74,50.44,0,3,-40.82,-67.62,done
31497,running,cruise,50.75,0.40,-41.74,0.43,1.00,4.72,50.41,0,3,-41.17,-69.95,done
31574,running,cruise,50.79,0.37,-42.07,0.84,1.00,4.72,50.37,0,3,-41.52,-68.93,done
31652,running,cruise,50.83,0.33,-42.41,0.42,1.00,4.71,50.34,0,3,-41.87,-68.93,done
31729,running,cruise,50.85,0.31,-42.79,0.49,1.00,4.68,50.32,0,3,-42.21,-70.96,done
31807,running,cruise,50.90,0.27,-43.04,1.07,1.00,4.70,50.28,0,3,-42.56,-66.56,done
31884,running,cruise,50.96,0.21,-43.41,1.08,1.00,4.72,50.22,0,3,-42.91,-67.99,done
31962,running,cruise,51.03,0.14,-43.75,1.40,1.00,4.76,50.15,0,3,-43.26,-67.99,done
32040,running,cruise,51.10,0.08,-44.14,1.01,1.00,4.79,50.09,0,3,-43.61,-69.82,done
32117,running,cruise,51.15,0.02,-44.43,1.14,1.00,4.82,50.03,0,3,-43.97,-66.99,done
32194,running,cruise,51.22,-0.05,-44.82,1.23,1.00,4.86,49.97,0,3,-44.32,-69.17,done
32272,running,cruise,51.28,-0.10,-45.17,0.96,1.00,4.43,49.91,0,3,-44.68,-69.17,done
32349,running,cruise,51.33,-0.16,-45.49,0.99,1.00,4.13,49.86,0,3,-44.99,-69.82,done
32426,running,cruise,51.40,-0.23,-45.80,1.42,1.00,4.16,49.79,0,3,-45.30,-70.53,done
32504,running,cruise,51.45,-0.28,-46.12,0.45,1.00,4.17,49.74,0,3,-45.61,-71.35,done
32581,running,cruise,51.48,-0.30,-46.42,0.65,1.00,4.15,49.72,0,3,-45.91,-70.95,done
32658,running,cruise,51.52,-0.35,-46.71,0.91,1.00,4.15,49.67,0,3,-46.22,-70.99,done
32736,running,cruise,51.56,-0.40,-47.11,0.65,1.00,4.14,49.63,0,3,-46.53,-75.58,done
32813,running,cruise,51.60,-0.44,-47.39,0.69,1.00,4.15,49.59,0,3,-46.83,-74.58,done
32890,running,cruise,51.64,-0.48,-47.67,0.67,1.00,4.14,49.55,0,3,-47.14,-73.83,done
32969,running,cruise,51.68,-0.53,-47.98,0.99,1.00,4.15,49.50,0,3,-47.45,-73.83,done
33045,running,cruise,51.73,-0.58,-48.27,0.79,1.00,4.16,49.45,0,3,-47.75,-73.46,done
33123,running,cruise,51.77,-0.63,-48.62,0.96,1.00,4.16,49.40,0,3,-48.06,-76.24,done
33201,running,cruise,51.81,-0.67,-48.93,0.40,1.00,4.15,49.36,0,3,-48.37,-76.42,done
33278,running,cruise,51.82,-0.68,-49.23,0.28,1.00,4.12,49.35,0,3,-48.67,-76.42,done
33355,running,cruise,51.85,-0.72,-49.60,0.75,1.00,4.10,49.32,0,3,-48.98,-79.92,done
33434,running,cruise,51.89,-0.77,-49.84,0.85,1.00,4.11,49.27,0,3,-49.28,-76.92,done
33511,running,cruise,51.93,-0.82,-50.15,0.91,1.00,4.11,49.22,0,3,-49.59,-78.00,done
33588,running,cruise,51.98,-0.87,-50.45,1.12,1.00,4.13,49.17,0,3,-49.89,-78.00,done
33693,running,cruise,52.04,-0.94,-50.87,0.75,1.00,4.14,49.10,0,3,-50.27,-80.02,done
33783,running,cruise,52.07,-0.98,-51.23,0.51,1.00,4.12,49.06,0,3,-50.66,-79.09,done
33860,running,cruise,52.13,-1.06,-51.56,1.90,1.00,4.15,48.98,0,3,-50.96,-80.84,done
33939,running,cruise,52.22,-1.17,-51.84,1.26,1.00,4.22,48.88,0,3,-51.28,-79.52,done
34016,running,cruise,52.26,-1.22,-52.13,0.82,1.00,4.24,48.83,0,3,-51.59,-78.53,done
34093,running,cruise,52.31,-1.29,-52.43,1.42,1.00,4.27,48.76,0,3,-51.90,-78.53,done
34171,running,cruise,52.39,-1.40,-52.80,1.63,1.00,4.33,48.66,0,3,-52.22,-81.51,done
34248,running,cruise,52.44,-1.46,-53.11,0.66,1.00,4.35,48.60,0,3,-52.54,-80.79,done
34325,running,cruise,52.48,-1.52,-53.45,1.21,1.00,4.36,48.55,0,3,-52.86,-82.29,done
34403,running,cruise,52.54,-1.60,-53.74,1.21,1.00,3.61,48.47,0,3,-53.16,-82.29,done
34481,running,cruise,52.59,-1.66,-54.00,0.94,1.00,3.62,48.41,0,3,-53.43,-81.78,done
34559,running,cruise,52.63,-1.72,-54.24,0.96,1.00,3.63,48.35,0,3,-53.70,-80.76,done
34637,running,cruise,52.68,-1.79,-54.47,1.29,1.00,3.66,48.29,0,3,-53.97,-79.22,done
34714,running,cruise,52.74,-1.88,-54.73,1.30,1.00,3.69,48.20,0,3,-54.24,-78.80,done
34791,running,cruise,52.79,-1.94,-55.00,0.89,1.00,3.71,48.14,0,3,-54.51,-78.80,done
34868,running,cruise,52.84,-2.01,-55.31,1.25,1.00,3.72,48.07,0,3,-54.79,-80.71,done
34946,running,cruise,52.90,-2.10,-55.59,1.35,1.00,3.76,47.99,0,3,-55.07,-81.45,done
35023,running,cruise,52.95,-2.17,-55.93,0.85,1.00,3.76,47.92,0,3,-55.34,-84.89,done
35103,running,cruise,52.98,-2.22,-56.21,0.78,1.00,3.76,47.88,0,3,-55.63,-84.89,done
35185,running,cruise,53.01,-2.27,-56.47,0.96,1.00,3.77,47.82,0,3,-55.92,-83.49,done
35265,running,cruise,53.06,-2.34,-56.74,0.98,1.00,3.79,47.76,0,3,-56.21,-82.65,done
35344,running,cruise,53.10,-2.40,-56.99,0.79,1.00,3.80,47.70,0,3,-56.50,-80.93,done
35423,running,cruise,53.13,-2.46,-57.34,0.93,1.00,3.80,47.65,0,3,-56.79,-84.20,done
35505,running,cruise,53.18,-2.52,-57.63,1.04,1.00,3.81,47.58,0,3,-57.08,-84.20,done
35585,running,cruise,53.22,-2.59,-57.87,1.04,1.00,3.84,47.52,0,3,-57.38,-82.14,done
35666,running,cruise,53.28,-2.68,-58.20,1.51,1.00,3.87,47.43,0,3,-57.67,-84.03,done
35744,running,cruise,53.35,-2.79,-58.44,1.57,1.00,3.94,47.33,0,3,-57.96,-81.65,done
35824,running,cruise,53.40,-2.88,-58.82,1.10,1.00,3.96,47.25,0,3,-58.27,-85.70,done
35902,running,cruise,53.45,-2.97,-59.10,1.61,1.00,4.00,47.16,0,3,-58.56,-85.70,done
35979,running,cruise,53.52,-3.08,-59.35,1.64,1.00,4.08,47.05,0,3,-58.86,-83.44,done
36060,running,cruise,53.56,-3.16,-59.73,0.68,1.00,4.09,46.98,0,3,-59.17,-87.14,done
36137,running,cruise,53.60,-3.22,-59.96,1.32,1.00,3.28,46.92,0,3,-59.45,-85.19,done
36214,running,cruise,53.66,-3.32,-60.20,1.28,1.00,3.31,46.83,0,3,-59.69,-85.19,done
36294,running,cruise,53.69,-3.38,-60.50,0.75,1.00,3.31,46.76,0,3,-59.94,-87.84,done
36371,running,cruise,53.72,-3.43,-60.74,0.85,1.00,3.31,46.72,0,3,-60.18,-87.91,done
36451,running,cruise,53.76,-3.50,-61.02,1.06,1.00,3.32,46.65,0,3,-60.44,-89.47,done
36529,running,cruise,53.79,-3.56,-61.26,0.67,1.00,3.33,46.59,0,3,-60.68,-89.47,done
36606,running,cruise,53.81,-3.59,-61.55,0.38,1.00,3.30,46.57,0,3,-60.93,-91.86,done
36683,running,cruise,53.82,-3.62,-61.69,0.42,1.00,3.30,46.54,0,3,-61.17,-87.31,done
36761,running,cruise,53.84,-3.65,-61.98,0.44,1.00,3.28,46.51,0,3,-61.42,-89.37,done
36839,running,cruise,53.85,-3.68,-62.22,0.51,1.00,3.26,46.48,0,3,-61.66,-89.92,done
36917,running,cruise,53.88,-3.72,-62.46,0.91,1.00,3.25,46.44,0,3,-61.90,-89.92,done
36994,running,cruise,53.91,-3.79,-62.75,0.83,1.00,3.26,46.38,0,3,-62.14,-92.48,done
37071,running,cruise,53.93,-3.82,-62.91,0.35,1.00,3.25,46.34,0,3,-62.38,-88.90,done
37148,running,cruise,53.95,-3.87,-63.22,1.03,1.00,3.24,46.30,0,3,-62.62,-92.62,done
37226,running,cruise,53.99,-3.94,-63.45,0.99,1.00,3.25,46.23,0,3,-62.86,-92.62,done
37304,running,cruise,54.02,-4.00,-63.63,0.76,1.00,3.26,46.18,0,3,-63.10,-89.52,done
37381,running,cruise,54.05,-4.05,-63.89,0.95,1.00,3.26,46.12,0,3,-63.34,-90.92,done
37460,running,cruise,54.08,-4.12,-64.17,0.85,1.00,3.27,46.06,0,3,-63.58,-92.83,done
37536,running,cruise,54.10,-4.17,-64.41,0.86,1.00,3.27,46.01,0,3,-63.83,-92.83,done
37613,running,cruise,54.13,-4.23,-64.66,0.77,1.00,3.27,45.95,0,3,-64.07,-93.57,done
37691,running,cruise,54.15,-4.28,-64.79,0.64,1.00,3.28,45.91,0,3,-64.31,-88.35,done
37768,running,cruise,54.18,-4.33,-65.05,0.84,1.00,3.28,45.86,0,3,-64.55,-89.73,done
37846,running,cruise,54.21,-4.39,-65.29,0.90,1.00,3.28,45.80,0,3,-64.79,-89.73,done
37924,running,cruise,54.23,-4.45,-65.62,0.75,1.00,3.27,45.75,0,3,-65.04,-94.10,done
38001,running,cruise,54.26,-4.52,-65.81,1.22,1.00,3.29,45.68,0,3,-65.28,-91.72,done
38078,running,cruise,54.30,-4.60,-66.03,1.17,1.00,3.32,45.60,0,3,-65.52,-91.22,done
38156,running,cruise,54.34,-4.70,-66.37,1.46,1.00,3.34,45.51,0,3,-65.77,-95.74,done
38234,running,cruise,54.39,-4.80,-66.61,1.31,1.00,3.38,45.41,0,3,-66.02,-95.74,done
38310,running,cruise,54.43,-4.90,-66.79,1.66,1.00,3.43,45.32,0,3,-66.27,-92.71,done
38388,running,cruise,54.49,-5.03,-67.04,2.02,1.00,2.71,45.19,0,3,-66.51,-93.17,done
38467,running,cruise,54.55,-5.17,-67.30,1.75,1.00,2.74,45.06,0,3,-66.71,-96.09,done
38543,running,cruise,54.60,-5.29,-67.50,1.83,1.00,2.79,44.94,0,3,-66.91,-96.09,done
38621,running,cruise,54.66,-5.44,-67.65,2.16,1.00,2.85,44.80,0,3,-67.12,-93.65,done
38698,running,cruise,54.72,-5.59,-67.96,2.06,1.00,2.89,44.66,0,3,-67.33,-98.64,done
38775,running,cruise,54.78,-5.73,-68.07,1.98,1.00,2.97,44.52,0,3,-67.55,-93.82,done
38853,running,cruise,54.83,-5.87,-68.29,1.76,1.00,3.03,44.39,0,3,-67.77,-93.82,done
38931,running,cruise,54.88,-5.99,-68.51,1.50,1.00,3.07,44.28,0,3,-67.99,-93.57,done
39008,running,cruise,54.92,-6.10,-68.77,1.71,1.00,3.11,44.17,0,3,-68.22,-95.61,done
39085,running,cruise,54.98,-6.24,-68.94,2.00,1.00,3.18,44.04,0,3,-68.45,-92.99,done
39162,running,cruise,55.04,-6.39,-69.17,2.22,1.00,3.26,43.90,0,3,-68.69,-92.99,done
39239,running,cruise,55.10,-6.57,-69.47,2.71,1.00,3.34,43.73,0,3,-68.93,-96.23,done
39317,running,cruise,55.18,-6.78,-69.70,3.03,1.00,3.48,43.53,0,3,-69.18,-95.08,done
39394,running,cruise,55.26,-7.00,-69.93,3.02,1.00,2.74,43.32,0,3,-69.41,-95.11,done
39471,running,cruise,55.34,-7.22,-70.14,3.23,1.00,2.84,43.11,0,3,-69.62,-95.91,done
39549,running,cruise,55.43,-7.46,-70.35,3.16,1.00,2.95,42.88,0,3,-69.83,-95.91,done
39626,running,cruise,55.51,-7.68,-70.50,2.95,1.00,3.07,42.68,0,3,-70.05,-92.42,done
39703,running,cruise,55.58,-7.91,-70.73,3.21,1.00,3.19,42.46,0,3,-70.28,-92.61,done
39780,running,cruise,55.66,-8.14,-70.97,3.05,1.00,3.32,42.25,0,3,-70.52,-93.20,done
39858,running,cruise,55.74,-8.35,-71.22,2.83,1.00,3.45,42.04,0,3,-70.77,-93.20,done
39936,running,cruise,55.80,-8.54,-71.47,2.43,1.00,3.56,41.86,0,3,-71.03,-93.07,done
40013,running,cruise,55.86,-8.71,-71.72,2.15,1.00,3.67,41.70,0,3,-71.29,-92.31,done
40090,running,cruise,55.90,-8.85,-71.98,1.76,1.00,3.04,41.57,0,3,-71.56,-92.31,done
40167,running,cruise,55.94,-8.98,-72.18,1.78,1.00,2.83,41.45,0,3,-71.77,-92.31,done
40245,running,cruise,55.99,-9.11,-72.44,1.95,1.00,2.87,41.32,0,3,-71.98,-94.72,done
40322,running,cruise,56.03,-9.25,-72.63,1.65,1.00,2.92,41.20,0,3,-72.20,-93.92,done
40399,running,cruise,56.06,-9.35,-72.89,1.30,1.00,2.94,41.10,0,3,-72.41,-96.61,done
40477,running,cruise,56.10,-9.46,-73.11,1.46,1.00,2.97,41.00,0,3,-72.63,-96.61,done
40554,running,cruise,56.12,-9.55,-73.32,1.04,1.00,3.00,40.91,0,3,-72.85,-96.61,done
40631,running,cruise,56.15,-9.64,-73.50,1.39,1.00,3.03,40.83,0,3,-73.07,-94.61,done
40708,running,cruise,56.18,-9.73,-73.76,1.25,1.00,3.04,40.74,0,3,-73.29,-96.90,done
40786,running,cruise,56.21,-9.85,-73.99,1.72,1.00,3.08,40.63,0,3,-73.52,-97.26,done
40862,running,cruise,56.24,-9.97,-74.23,1.46,1.00,3.12,40.52,0,3,-73.75,-97.75,done
40941,running,cruise,56.27,-10.07,-74.47,1.53,1.00,3.16,40.42,0,3,-73.98,-98.51,done
41018,running,cruise,56.31,-10.20,-74.66,1.50,1.00,3.21,40.30,0,3,-74.21,-96.56,done
41095,running,cruise,56.33,-10.29,-74.93,1.23,1.00,3.23,40.21,0,3,-74.45,-98.56,done
41172,running,cruise,56.36,-10.39,-75.17,1.45,1.00,3.27,40.11,0,3,-74.69,-98.56,done
41250,running,cruise,56.39,-10.49,-75.38,1.07,1.00,3.31,40.02,0,3,-74.93,-97.38,done
41327,running,cruise,56.41,-10.57,-75.67,1.11,1.00,3.31,39.95,0,3,-75.18,-99.63,done
41404,running,cruise,56.43,-10.66,-75.87,1.44,1.00,3.35,39.86,0,3,-75.42,-97.95,done
41487,running,cruise,56.46,-10.79,-76.13,1.73,1.00,3.40,39.74,0,3,-75.69,-97.95,done
41570,running,cruise,56.49,-10.92,-76.39,1.31,1.00,2.51,39.62,0,3,-75.93,-98.70,done
41649,running,cruise,56.51,-11.00,-76.60,0.88,1.00,2.52,39.54,0,3,-76.12,-100.07,done
41727,running,cruise,56.52,-11.04,-76.79,0.41,1.00,2.51,39.50,0,3,-76.31,-100.33,done
41852,running,cruise,56.53,-11.08,-77.05,0.25,1.00,2.49,39.46,0,3,-76.60,-99.04,done
41933,running,cruise,56.54,-11.09,-77.27,0.04,1.00,2.46,39.45,0,3,-76.80,-100.47,done
42014,running,cruise,56.53,-11.09,-77.40,0.01,1.00,2.44,39.45,0,3,-76.99,-97.49,done
42091,running,cruise,56.54,-11.10,-77.57,0.20,1.00,2.42,39.44,0,3,-77.16,-97.49,done
42170,running,cruise,56.54,-11.12,-77.78,0.26,1.00,2.39,39.43,0,3,-77.35,-98.98,done
42247,running,cruise,56.55,-11.15,-77.96,0.43,1.00,2.38,39.40,0,3,-77.52,-99.23,done
42325,running,cruise,56.56,-11.19,-78.16,0.58,1.00,2.36,39.36,0,3,-77.70,-100.92,done
42404,running,cruise,56.57,-11.23,-78.34,0.65,1.00,2.36,39.32,0,3,-77.87,-100.92,done
42483,running,cruise,56.58,-11.29,-78.48,0.78,1.00,2.36,39.27,0,3,-78.05,-99.37,done
42560,running,cruise,56.59,-11.35,-78.71,0.79,1.00,2.35,39.21,0,3,-78.23,-102.58,done
42639,running,cruise,56.60,-11.41,-78.82,0.78,1.00,2.36,39.15,0,3,-78.40,-99.44,done
42716,running,cruise,56.61,-11.47,-78.98,0.75,1.00,2.37,39.10,0,3,-78.58,-98.44,done
42796,running,cruise,56.62,-11.53,-79.15,0.86,1.00,2.37,39.04,0,3,-78.76,-98.44,done
42874,running,cruise,56.64,-11.60,-79.35,0.88,1.00,2.37,38.97,0,3,-78.93,-99.80,done
42952,running,cruise,56.65,-11.65,-79.56,0.40,1.00,2.36,38.92,0,3,-79.11,-101.56,done
43029,running,cruise,56.65,-11.66,-79.73,0.02,1.00,2.34,38.91,0,3,-79.28,-101.81,done
43107,running,cruise,56.65,-11.66,-79.90,0.07,1.00,2.31,38.91,0,3,-79.45,-101.81,done
43184,running,cruise,56.65,-11.67,-80.12,-0.01,1.00,2.27,38.91,0,3,-79.62,-104.33,done
43261,running,cruise,56.65,-11.66,-80.27,-0.10,1.00,2.25,38.91,0,3,-79.79,-103.61,done
43339,running,cruise,56.65,-11.65,-80.43,-0.09,1.00,2.21,38.92,0,3,-79.95,-103.54,done
43417,running,cruise,56.65,-11.65,-80.59,0.00,1.00,2.19,38.92,0,3,-80.12,-103.54,done
43494,running,cruise,56.65,-11.66,-80.81,0.18,1.00,2.15,38.92,0,3,-80.28,-106.88,done
43571,running,cruise,56.65,-11.68,-80.95,0.34,1.00,2.14,38.90,0,3,-80.43,-106.24,done
43649,running,cruise,56.66,-11.71,-81.06,0.64,1.00,2.13,38.86,0,3,-80.59,-104.04,done
43725,running,cruise,56.67,-11.76,-81.23,0.65,1.00,2.13,38.81,0,3,-80.75,-104.73,done
43803,running,cruise,56.67,-11.82,-81.38,0.72,1.00,2.13,38.76,0,3,-80.91,-104.73,done
43881,running,cruise,56.68,-11.88,-81.60,0.86,1.00,2.12,38.70,0,3,-81.06,-107.71,done
43958,running,cruise,56.69,-11.95,-81.72,0.85,1.00,2.13,38.64,0,3,-81.22,-106.47,done
44036,running,cruise,56.70,-12.00,-81.85,0.61,1.00,2.13,38.59,0,3,-81.38,-105.18,done
44113,running,cruise,56.71,-12.04,-82.01,0.53,1.00,2.12,38.54,0,3,-81.53,-105.18,done
44190,running,cruise,56.71,-12.08,-82.14,0.49,1.00,2.12,38.51,0,3,-81.69,-104.40,done
44268,running,cruise,56.72,-12.12,-82.26,0.36,1.00,2.11,38.48,0,3,-81.84,-102.73,done
44346,running,cruise,56.72,-12.13,-82.50,0.21,1.00,2.08,38.46,0,3,-82.00,-107.09,done
44423,running,cruise,56.72,-12.15,-82.65,0.18,1.00,2.05,38.45,0,3,-82.15,-107.09,done
44501,running,cruise,56.72,-12.17,-82.73,0.35,1.00,2.05,38.42,0,3,-82.30,-103.67,done
44578,running,cruise,56.73,-12.20,-82.91,0.33,1.00,2.03,38.40,0,3,-82.46,-105.02,done
44655,running,cruise,56.73,-12.22,-83.00,0.21,1.00,2.02,38.38,0,3,-82.60,-102.47,done
44733,running,cruise,56.73,-12.24,-83.15,0.36,1.00,2.01,38.36,0,3,-82.75,-102.47,done
44811,running,cruise,56.74,-12.27,-83.33,0.40,1.03,1.99,38.33,0,3,-82.90,-104.49,done
44888,running,cruise,56.74,-12.30,-83.46,0.31,1.05,1.98,38.30,0,3,-83.05,-103.80,done
44966,running,cruise,56.74,-12.33,-83.60,0.42,1.07,1.96,38.27,0,3,-83.19,-103.48,done
45044,running,cruise,56.75,-12.36,-83.72,0.41,1.09,1.95,38.24,0,3,-83.34,-102.68,done
45120,running,cruise,56.75,-12.39,-83.86,0.49,1.11,1.94,38.21,0,3,-83.48,-102.68,done
45198,running,cruise,56.75,-12.43,-84.09,0.41,1.16,1.92,38.17,0,3,-83.62,-106.98,done
45276,running,cruise,56.76,-12.45,-84.17,0.18,1.17,1.91,38.15,0,3,-83.76,-104.09,done
45352,running,cruise,56.76,-12.47,-84.32,0.29,1.22,1.89,38.14,0,3,-83.90,-104.69,done
45431,running,cruise,56.76,-12.48,-84.46,0.15,1.25,1.87,38.12,0,3,-84.04,-104.69,done
45508,running,cruise,56.76,-12.49,-84.66,0.01,1.33,1.84,38.12,0,3,-84.18,-108.35,done
45585,running,cruise,56.76,-12.50,-84.72,0.20,1.34,1.83,38.11,0,3,-84.32,-104.63,done
45663,running,cruise,56.76,-12.51,-84.85,0.14,1.38,1.81,38.09,0,3,-84.45,-104.48,done
45740,running,cruise,56.76,-12.52,-84.98,0.18,1.42,1.79,38.08,0,3,-84.58,-104.48,done
45818,running,cruise,56.76,-12.54,-85.11,0.38,1.45,1.77,38.06,0,3,-84.72,-104.44,done
45895,running,cruise,56.77,-12.58,-85.30,0.39,1.50,1.75,38.03,0,3,-84.85,-107.37,done
45974,running,cruise,56.77,-12.60,-85.46,0.38,1.54,1.73,38.00,0,3,-84.98,-109.40,done
46051,running,cruise,56.77,-12.64,-85.59,0.49,1.56,1.72,37.97,0,3,-85.10,-109.40,done
46128,running,cruise,56.77,-12.67,-85.67,0.42,1.56,1.72,37.94,0,3,-85.23,-107.29,done
46206,running,cruise,56.78,-12.72,-85.73,0.72,1.55,1.73,37.89,0,3,-85.36,-104.15,done
46282,running,cruise,56.78,-12.77,-85.93,0.62,1.58,1.71,37.84,0,3,-85.48,-107.88,done
46360,running,cruise,56.78,-12.81,-86.04,0.48,1.59,1.70,37.80,0,3,-85.61,-107.31,done
46439,running,cruise,56.79,-12.88,-86.17,1.20,1.61,1.59,37.74,0,3,-85.74,-107.31,done
46516,running,cruise,56.79,-12.97,-86.29,1.01,1.92,1.13,37.65,0,3,-85.83,-108.43,done
46594,running,cruise,56.80,-13.04,-86.39,1.11,2.24,1.13,37.58,0,3,-85.92,-109.29,done
46672,running,cruise,56.81,-13.16,-86.48,1.89,2.55,1.14,37.46,0,3,-86.00,-110.00,done
46749,running,cruise,56.82,-13.32,-86.57,2.17,2.66,1.17,37.30,0,3,-86.09,-110.00,done
46826,running,cruise,56.83,-13.50,-86.61,2.31,2.59,1.20,37.14,0,3,-86.17,-108.13,done
46904,running,cruise,56.84,-13.67,-86.71,1.98,2.54,1.23,36.97,0,3,-86.26,-108.83,done
46982,running,cruise,56.85,-13.81,-86.77,1.96,2.48,1.26,36.83,0,3,-86.36,-107.20,done
47060,running,cruise,56.85,-13.97,-86.86,2.12,2.42,1.29,36.67,0,3,-86.45,-107.20,done
47138,running,cruise,56.86,-14.14,-86.95,2.14,2.35,1.32,36.51,0,3,-86.54,-106.56,done
47215,running,cruise,56.87,-14.30,-87.06,2.03,2.30,1.35,36.36,0,3,-86.64,-107.61,done
47292,running,cruise,56.88,-14.46,-87.12,2.09,2.22,1.39,36.20,0,3,-86.74,-105.80,done
47370,running,cruise,56.89,-14.63,-87.24,2.33,2.15,1.42,36.03,0,3,-86.85,-106.70,done
47448,running,cruise,56.90,-14.83,-87.35,2.75,2.05,1.47,35.84,0,3,-86.95,-106.70,done
47525,running,cruise,56.91,-15.04,-87.44,2.69,2.14,1.02,35.63,0,3,-87.06,-106.08,done
47602,running,cruise,56.92,-15.23,-87.55,2.30,2.45,1.04,35.45,0,3,-87.13,-108.11,done
47680,running,cruise,56.92,-15.42,-87.60,2.55,2.76,1.08,35.27,0,3,-87.21,-106.59,done
47757,running,cruise,56.93,-15.63,-87.68,2.90,2.77,1.11,35.06,0,3,-87.29,-106.59,done
47844,running,cruise,56.94,-15.88,-87.75,2.78,2.68,1.16,34.82,0,3,-87.38,-105.70,done
47925,running,cruise,56.95,-16.09,-87.83,2.57,2.60,1.20,34.61,0,3,-87.48,-105.36,done
48003,running,cruise,56.96,-16.30,-87.95,2.78,2.52,1.24,34.41,0,3,-87.57,-106.88,done
48082,running,cruise,56.97,-16.52,-88.01,2.58,2.42,1.29,34.20,0,3,-87.66,-104.96,done
48162,running,cruise,56.97,-16.72,-88.10,2.48,2.33,1.33,34.00,0,3,-87.76,-104.96,done
48243,running,cruise,56.98,-16.92,-88.25,2.52,2.26,1.37,33.81,0,3,-87.86,-107.09,done
48324,running,cruise,56.98,-17.13,-88.34,2.47,2.35,0.97,33.61,0,3,-87.96,-106.91,done
48403,running,cruise,56.99,-17.33,-88.37,2.48,2.67,1.01,33.41,0,3,-88.04,-104.36,done
48482,running,cruise,57.00,-17.52,-88.44,2.47,2.92,1.04,33.23,0,3,-88.12,-104.36,done
