T_ms,lifecycle,substate,x,y,theta_deg,speed,adv_v,turn_v,dist_wp,counter,wps_left,mag_x_raw,mag_y_raw,yaw_gyro,yaw_mag,cal_status
4,running,cruise,0.00,0.00,0.00,-0.13,0.03,0.18,50.00,0,4,0.5996,0.2563,-132.33,0.00,not_cal
82,running,cruise,-0.01,0.00,-0.04,-0.06,0.36,0.69,50.01,0,4,0.6014,0.2559,-0.04,-0.10,not_cal
160,running,cruise,-0.01,0.00,-0.08,-0.04,0.67,0.68,50.01,0,4,0.6006,0.2563,-0.08,-0.03,not_cal
237,running,cruise,0.00,-0.00,-0.13,0.36,0.98,0.68,50.00,0,4,0.5953,0.2530,-0.13,-0.12,not_cal
314,running,cruise,0.03,-0.00,-0.18,0.41,1.28,0.67,49.97,0,4,0.5953,0.2583,-0.18,0.31,not_cal
391,running,cruise,0.05,-0.00,-0.22,0.17,1.59,0.67,49.95,0,4,0.5953,0.2583,-0.22,0.31,not_cal
468,running,cruise,0.08,-0.00,-0.27,0.43,1.90,0.66,49.92,0,4,0.5933,0.2591,-0.27,0.45,not_cal
545,running,cruise,0.11,-0.00,-0.32,0.35,2.21,0.66,49.89,0,4,0.5970,0.2561,-0.32,0.07,not_cal
622,running,cruise,0.14,-0.00,-0.36,0.36,2.52,0.65,49.86,0,4,0.5933,0.2552,-0.36,0.13,not_cal
699,running,cruise,0.16,-0.00,-0.41,0.22,2.83,0.65,49.84,0,4,0.5933,0.2552,-0.41,0.13,not_cal
776,running,cruise,0.18,-0.00,-0.45,0.31,3.13,0.64,49.82,0,4,0.5947,0.2582,-0.45,0.32,not_cal
853,running,cruise,0.21,-0.00,-0.49,0.37,3.44,0.64,49.79,0,4,0.5977,0.2607,-0.49,0.42,not_cal
929,running,cruise,0.24,-0.00,-0.54,0.38,3.73,0.63,49.76,0,4,0.5963,0.2544,-0.54,-0.04,not_cal
1007,running,cruise,0.27,-0.00,-0.58,0.69,3.74,0.63,49.73,0,4,0.5963,0.2544,-0.58,-0.04,not_cal
1084,running,cruise,0.34,-0.00,-0.62,0.79,3.74,0.63,49.66,0,4,0.5965,0.2555,-0.62,0.04,not_cal
1161,running,cruise,0.38,-0.00,-0.67,0.65,3.74,0.63,49.62,0,4,0.5949,0.2565,-0.67,0.18,not_cal
1239,running,cruise,0.45,-0.00,-0.71,1.01,3.74,0.63,49.55,0,4,0.5963,0.2521,-0.71,-0.22,not_cal
1316,running,cruise,0.54,-0.00,-0.75,1.29,3.73,0.64,49.46,0,4,0.5963,0.2521,-0.75,-0.22,not_cal
1392,running,cruise,0.64,-0.01,-0.80,1.33,3.72,0.64,49.36,0,4,0.5999,0.2514,-0.80,-0.41,not_cal
1469,running,cruise,0.75,-0.01,-0.84,1.78,3.70,0.65,49.25,0,4,0.5958,0.2514,-0.84,-0.27,not_cal
1547,running,cruise,0.92,-0.01,-0.89,2.42,3.66,0.67,49.08,0,4,0.5988,0.2520,-0.89,-0.32,not_cal
1623,running,cruise,1.11,-0.01,-0.93,2.60,3.71,0.64,48.89,0,4,0.5988,0.2485,-0.93,-0.61,not_cal
1701,running,cruise,1.32,-0.02,-0.98,2.83,3.67,0.66,48.68,0,4,0.5958,0.2485,-0.98,-0.51,not_cal
1778,running,cruise,1.55,-0.02,-1.02,3.05,3.63,0.69,48.45,0,4,0.6019,0.2576,-1.02,0.02,not_cal
1855,running,cruise,1.78,-0.03,-1.07,3.14,3.57,0.71,48.22,0,4,0.5974,0.2538,-1.07,-0.13,not_cal
1932,running,cruise,2.04,-0.03,-1.12,3.49,3.51,0.75,47.96,0,4,0.6000,0.2513,-1.12,-0.42,not_cal
